Course Title,Category,Level,Format,Duration,Price (GBP),Target Audience,Key Topics,Outcome,Status,Catalogue Section
Free Taster: Build Your First AI App in 60 Minutes,Start Here,Complete Beginner,Free Live Workshop (Online),60 minutes,0,"Curious beginners & explorers","Live app demo; intro to AI tools; choose your next track",Experience AI app creation and pick your learning path,Live,Start Here
AI for Young Beginners: Build Your First App,For Young Learners,Beginner,Live Workshop (Online),3 hours,25,"Kids, teenagers, young adults & parents","What AI is; zero-coding app building; idea to prompt to app; shipping to production",Build and publish your first app from an idea using AI,Live,For Young Learners
AI for Professionals: Tools Agents & Productivity,For Working Professionals,Beginner to Intermediate,Live Workshop (Online),3 hours,25,"Business users, analysts, PMs, BAs, testers & ops","ChatGPT, Claude, Gemini; prompting; document summarisation; agents; safe & responsible use",Use AI safely and productively at work,Live,For Working Professionals
The Practical AI Workshop for Developers Architects & Tech Leads,For Developers,Intermediate,Live Workshop (Online),2 hours,50,"Developers, architects, tech leads, delivery leads & QA leads","AI-assisted architecture; coding; refactoring; tests; agents; vibe coding guardrails; security & privacy; CODE25 promo reduces price to 25 before 1 July 2026",Apply AI workflows across real software delivery with live hands-on demos,Live,For Developers
AI Native Developer Bootcamp: From Prompt to Production,For Developers,Intermediate,Live Workshop (Online),2 hours,50,"Software developers, engineers & tech leads","Cursor, Claude Code, Copilot, ChatGPT; code, tests, refactor, PR, deploy; security & quality",Improve software delivery workflow with AI across the SDLC,Live,For Developers
GitHub Copilot Workshop,For Developers,Intermediate,Live Workshop (Online),2 hours,45,"Software developers & engineering teams","Inline vs chat; TDD with Copilot; refactor; PR/docs; safe use",Daily Copilot workflow with review discipline,Planned,For Developers
AI for Doctors: Safe Clinical Productivity with AI,Specialist Tracks,Professional,Blended (Live + Self-paced),Multi-module (5+ hours),0,"Doctors, clinicians & medical administrators","Clinical documentation; letters; patient explanations; safety; privacy; UK & India context",Save clinical time safely with human review in charge,Pilot,Specialist Tracks
Build Your Own AI Agent: Personal Assistants Automation & Workflows,Experimental / Advanced,Intermediate to Advanced,Free Live Workshop (Online),1 hour,0,"Curious builders & advanced learners","Personal AI agents; OpenClaw; automation; integrations; workflows",Set up a personal AI assistant that takes action,Experimental,Experimental / Advanced
Building AI Agents,Master Class (Full Day),Intermediate to Advanced,Live Master Class (Online / In-person),1 day (6-7 hours),149,"Developers & technical builders","Agent architectures; tools & function calling; memory; orchestration; deploying agents",Design & ship a working AI agent end-to-end,Planned,Future
Prompt Engineering Mastery,Hands-on / Workshop,All Levels,Live Workshop (Online),Half day (3-4 hours),40,"Professionals, creators & developers","Prompt patterns; system prompts; structured outputs; evaluation; prompt debugging",Write reliable high-quality prompts for any task,Planned,Future
AI Coding Assistants for Developers: Cursor,For Developers,Intermediate,Live Workshop (Online),2 hours,45,"Software developers & engineering teams","Cursor rules; multi-file edits; codebase context; agent workflows",Ship code faster with Cursor-specific workflows,Planned,For Developers
AI for Business Leaders & Teams,Master Class (Full Day),Executive / Non-technical,Live Master Class (Online / In-person),1 day (6 hours),199,"Managers, founders & business teams","AI strategy; productivity workflows; automation; risk & governance; rollout planning",Leave with an AI adoption plan for your team,Planned,Future
